Name,Authentic Player Name Search,Face Pic,Player ID,Club,Nationality,Birth Date,Age,Wage USD,Wage EUR,Wage GBP,Primary,Secondary,Tertiary,Overall
Kike G.,Kike García,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192678.png,192678,Deportivo Alavés,Spain,1989-11-25,34,24500,22500,19000,ST,,,74
Julen Lartitegi,Julen Lartitegi,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p74547.png,74547,Deportivo Alavés,Spain,2003-09-29,20,3000,2700,2300,RW,RM,,55
Adrián Pica,Adrián Pica,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p74548.png,74548,Deportivo Alavés,Spain,2002-04-25,22,2800,2600,2200,CB,,,55
Mouriño,Santiago Mouriño,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p276493.png,276493,Deportivo Alavés,Uruguay,2002-02-13,22,11000,10000,8500,CB,RB,,70
C. Benavidez,Carlos Benavídez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p244948.png,244948,Deportivo Alavés,Uruguay,1998-03-30,26,14500,13500,11500,CDM,CM,,71
Romero,Nazareno Romero,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p247081.png,247081,Deportivo Cuenca,Argentina,2000-02-26,24,3500,3200,2700,LB,LM,,65
Becerra,Raúl Becerra,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p219170.png,219170,Deportivo Cuenca,Argentina,1987-10-01,36,4900,4500,3800,ST,,,67
Mancinelli,Lucas Mancinelli,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p219678.png,219678,Deportivo Cuenca,Argentina,1989-07-06,34,11000,10000,8700,RM,LW,ST,71
P. Magnin,Pablo Magnín,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p215026.png,215026,Deportivo Cuenca,Argentina,1990-04-25,34,7600,6900,5900,ST,CAM,,68
Diaz,Rodrigo Diaz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71053.png,71053,Deportivo Cuenca,Argentina,1996-07-11,27,2500,2300,1900,CB,,,57
Jiménez,Eduardo Jiménez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p274748.png,274748,Deportivo Cuenca,Ecuador,1999-10-01,24,1700,1500,1300,GK,,,58
Branda,Vilington Branda,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p273971.png,273971,Deportivo Cuenca,Ecuador,2001-11-23,22,6600,6100,5200,RW,LW,,68
M. Mendez,Mayer Méndez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p273985.png,273985,Deportivo Cuenca,Ecuador,2001-03-01,23,2700,2500,2100,RM,RW,,62
Quiñónez,Yerlin Quiñónez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p273988.png,273988,Deportivo Cuenca,Ecuador,2001-06-03,23,3000,2800,2400,LW,LM,,62
Zambrano,Mateo Zambrano,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p273989.png,273989,Deportivo Cuenca,Ecuador,1998-04-02,26,4800,4400,3700,ST,,,65
R. Biojó,Ronny Biojó,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p273830.png,273830,Deportivo Cuenca,Ecuador,1999-07-20,24,3500,3200,2700,CB,,,65
Piedra,Mateo Piedra,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p268612.png,268612,Deportivo Cuenca,Ecuador,2000-03-23,24,2100,2000,1700,CB,,,59
Luna,Danny Luna,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p265504.png,265504,Deportivo Cuenca,Ecuador,1991-05-25,33,5900,5400,4600,LM,CAM,ST,67
N. Davila,Nicolás Dávila,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p254945.png,254945,Deportivo Cuenca,Ecuador,1996-02-07,28,4200,3800,3300,CM,CDM,LM,64
Mina,Sixto Mina,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p254454.png,254454,Deportivo Cuenca,Ecuador,1999-10-30,24,3100,2900,2400,CB,,,64
D. Noboa,David Noboa,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253824.png,253824,Deportivo Cuenca,Ecuador,1995-05-16,29,4200,3900,3300,CDM,CM,,65
Pancho Mera,Francisco Mera,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253909.png,253909,Deportivo Cuenca,Ecuador,1992-06-06,32,5900,5400,4600,CM,RW,CDM,67
A. Lopez,Andrés López,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253361.png,253361,Deportivo Cuenca,Ecuador,1993-02-04,31,5400,4900,4200,RB,,,67
Hamilton,Hamilton Piedra,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p225678.png,225678,Deportivo Cuenca,Ecuador,1993-02-20,31,9300,8600,7300,GK,,,72
Chalá,Wálter Chalá,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p202144.png,202144,Deportivo Cuenca,Ecuador,1992-02-24,32,4400,4100,3400,RM,RW,LM,65
S. Morocho,Stalin Morocho,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71052.png,71052,Deportivo Cuenca,Ecuador,1998-05-18,26,2500,2300,1900,RB,,,58
Caicedo,Yorkaeff Caicedo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71054.png,71054,Deportivo Cuenca,Ecuador,2006-05-03,18,650,600,500,LB,,,53
Corozo,Bryan Corozo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70223.png,70223,Deportivo Cuenca,Ecuador,2000-08-19,23,2300,2100,1800,CDM,,,61
Beltrán,Carlos Beltrán,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253584.png,253584,Deportivo Garcilaso,Argentina,1990-08-18,33,4000,3600,3100,CB,CDM,,66
Gentile,Gaspar Gentile,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p240211.png,240211,Deportivo Garcilaso,Argentina,1995-02-16,29,6200,5700,4800,LM,ST,,68
Erustes,Pablo Erustes,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70452.png,70452,Deportivo Garcilaso,Argentina,1994-03-24,30,5500,5000,4300,ST,RM,CAM,67
Vargas,Miguel Vargas,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p229397.png,229397,Deportivo Garcilaso,Chile,1996-06-15,28,3400,3100,2600,GK,,,66
Cuero,Mauricio Cuero,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p214434.png,214434,Deportivo Garcilaso,Colombia,1993-01-28,31,7000,6500,5500,RM,LM,ST,69
Andy Ch.,Andrés Chicaiza,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p250796.png,250796,Deportivo Garcilaso,Ecuador,1992-04-03,32,6000,5500,4600,CAM,RW,,68
Caicedo,Luis Caicedo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p236271.png,236271,Deportivo Garcilaso,Ecuador,1992-05-11,32,4000,3600,3100,CB,,,66
Lojas,Juan Lojas,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p279148.png,279148,Deportivo Garcilaso,Peru,1989-04-23,35,3300,3000,2600,CB,,,67
Ventura,Farik Ventura,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p279155.png,279155,Deportivo Garcilaso,Peru,2003-03-24,21,1700,1600,1400,CM,,,57
Vargas,Josue Vargas,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p275149.png,275149,Deportivo Garcilaso,Peru,2003-03-28,21,1100,1000,900,GK,,,60
Rodríguez,Paulo Rodríguez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p268556.png,268556,Deportivo Garcilaso,Peru,2003-03-17,21,1700,1600,1400,CAM,,,59
Perleche,Erick Perleche,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p265428.png,265428,Deportivo Garcilaso,Peru,2000-08-15,23,3000,2700,2300,RB,,,65
Canales,Erick Canales,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p264797.png,264797,Deportivo Garcilaso,Peru,2001-06-07,23,2400,2200,1900,RB,,,63
Gonzáles,Erick Gonzáles,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p259636.png,259636,Deportivo Garcilaso,Peru,1996-04-11,28,3300,3000,2600,CDM,,,64
Cornejo,Miguel Cornejo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256185.png,256185,Deportivo Garcilaso,Peru,2000-01-18,24,3300,3000,2600,CAM,CM,,65
Ramírez,Diego Ramírez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p255064.png,255064,Deportivo Garcilaso,Peru,1994-11-02,29,5300,4800,4100,CM,CAM,,67
Diez,Carlo Diez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p254184.png,254184,Deportivo Garcilaso,Peru,1996-04-18,28,4100,3800,3200,CDM,,,66
Bazán,Jorge Bazán,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253526.png,253526,Deportivo Garcilaso,Peru,1991-03-23,33,4300,4000,3400,RM,RW,,66
Salazar,Aldair Salazar,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253530.png,253530,Deportivo Garcilaso,Peru,1994-08-19,29,4800,4400,3800,CB,RB,,67
Ugarriza,Adrián Ugarriza,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253557.png,253557,Deportivo Garcilaso,Peru,1997-01-01,27,5500,5000,4300,ST,RW,,67
Penny,Diego Penny,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p188610.png,188610,Deportivo Garcilaso,Peru,1984-04-22,40,1900,1700,1500,GK,,,66
Molina Huamán,Joaquín Molina Huamán,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70453.png,70453,Deportivo Garcilaso,Peru,2004-05-18,20,1500,1400,1200,CB,LB,,58
Gordillo,Anthony Gordillo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70454.png,70454,Deportivo Garcilaso,Peru,1994-04-30,30,3100,2900,2400,LB,,,64
Ramos,Gustavo Ramos,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70456.png,70456,Deportivo Garcilaso,Peru,2005-05-25,19,1100,1000,900,CB,RB,,57
Marmanillo,Mallki Marmanillo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70457.png,70457,Deportivo Garcilaso,Peru,2004-04-08,20,1100,1000,900,GK,,,58
Helton,Helton Leite,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p213951.png,213951,Deportivo La Coruña,Brazil,1990-11-02,33,7200,6600,5600,GK,,,77
Mfulu,Omenuke Mfulu,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p221556.png,221556,Deportivo La Coruña,DR Congo,1994-03-20,30,5900,5400,4600,CDM,CM,,72
Patiño,Charlie Patiño,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p260144.png,260144,Deportivo La Coruña,England,2003-10-17,20,2600,2400,2100,CM,CDM,,68
Martinez,Pablo Martinez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p223284.png,223284,Deportivo La Coruña,France,1989-02-21,35,4200,3900,3300,CB,LB,,72
M. Bouldini,Mohamed Bouldini,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262744.png,262744,Deportivo La Coruña,Morocco,1995-11-27,28,5600,5200,4400,ST,,,70
Eric Puerto,Eric Puerto,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p279897.png,279897,Deportivo La Coruña,Spain,2002-10-28,21,1000,900,750,GK,,,64
Dani Barcia,Dani Barcia,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278001.png,278001,Deportivo La Coruña,Spain,2003-01-19,21,2800,2500,2100,CB,LB,,69
Mella,David Mella,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278035.png,278035,Deportivo La Coruña,Spain,2005-05-23,19,3700,3400,2900,LM,RM,LB,72
Yeremay,Yeremay,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p264492.png,264492,Deportivo La Coruña,Spain,2002-12-10,21,6100,5600,4700,LW,LM,RW,73
Petxarroman,Álex Petxa,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262498.png,262498,Deportivo La Coruña,Spain,1997-02-06,27,2400,2200,1900,RB,CB,,66
Davo,Davo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262301.png,262301,Deportivo La Coruña,Spain,1994-12-18,29,4400,4000,3400,LM,CAM,ST,69
D. Villares,Villares,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p260877.png,260877,Deportivo La Coruña,Spain,1996-06-17,28,7700,7100,6000,CM,CAM,CDM,73
Mario S.,Mario Soriano,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p260463.png,260463,Deportivo La Coruña,Spain,2002-04-22,22,5700,5200,4400,CAM,CM,LM,72
Alberto S. V.,Alberto Sánchez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256936.png,256936,Deportivo La Coruña,Spain,2001-03-26,23,1000,900,750,GK,,,62
Barbero,Barbero,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p255461.png,255461,Deportivo La Coruña,Spain,1998-08-17,25,6000,5500,4700,ST,,,71
Pablo V.,Pablo Vázquez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p236573.png,236573,Deportivo La Coruña,Spain,1994-10-07,29,6200,5700,4800,CB,,,72
Hugo Rama,Hugo Rama,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p231025.png,231025,Deportivo La Coruña,Spain,1996-11-22,27,4200,3900,3300,CAM,CM,LM,69
Jaime,Jaime Sánchez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p221025.png,221025,Deportivo La Coruña,Spain,1995-03-11,29,4000,3700,3200,CB,RB,CDM,69
Germán,Germán Parreño,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p212453.png,212453,Deportivo La Coruña,Spain,1993-02-16,31,3100,2900,2400,GK,,,69
Herrera,Cristian Herrera,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p204280.png,204280,Deportivo La Coruña,Spain,1991-03-13,33,3000,2800,2400,RM,LM,ST,67
José Ángel,José Ángel,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p203733.png,203733,Deportivo La Coruña,Spain,1992-06-21,32,4500,4200,3500,CDM,CM,,70
Lucas,Lucas Pérez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p199354.png,199354,Deportivo La Coruña,Spain,1988-09-10,35,7200,6600,5600,ST,CAM,,75
X. Navarro,Ximo Navarro,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p198023.png,198023,Deportivo La Coruña,Spain,1990-01-23,34,5900,5400,4600,RB,CB,LB,72
Escudero,Escudero,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192679.png,192679,Deportivo La Coruña,Spain,1989-09-02,34,7300,6700,5700,LB,LM,,74
Kevin,Kevin Sánchez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73920.png,73920,Deportivo La Coruña,Spain,2005-02-20,19,900,850,700,ST,RW,CAM,60
Rubén,Rubén López,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73934.png,73934,Deportivo La Coruña,Spain,2004-08-26,19,800,750,600,CM,,,56
Soto,Almir Soto,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p227894.png,227894,Deportivo La Guaira,Colombia,1994-07-17,29,5400,4900,4200,CM,CDM,RB,64
Gutiérrez,Jorge Gutiérrez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p274198.png,274198,Deportivo La Guaira,Panama,1998-09-01,25,7800,7100,6100,LB,CB,,68
Custodio,Álex Custodio,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278788.png,278788,Deportivo La Guaira,Peru,2004-01-31,20,2600,2400,2100,CB,RB,,62
Lima,Eduardo Lima,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278787.png,278787,Deportivo La Guaira,Venezuela,1992-10-09,31,4200,3900,3300,GK,,,65
Romero,Elías Romero,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278790.png,278790,Deportivo La Guaira,Venezuela,1996-07-12,27,4700,4300,3700,CDM,,,64
Miguelito,Miguel González,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278791.png,278791,Deportivo La Guaira,Venezuela,2004-06-15,20,3400,3100,2700,LM,,,63
Da Silva,César Da Silva,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278792.png,278792,Deportivo La Guaira,Venezuela,2004-02-13,20,2600,2400,2000,CM,,,60
Castillo,Sebastián Castillo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278879.png,278879,Deportivo La Guaira,Venezuela,2005-05-06,19,2300,2100,1800,RW,,,60
Osorio,Yehova Osorio,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p272321.png,272321,Deportivo La Guaira,Venezuela,2002-11-15,21,2900,2700,2300,ST,,,60
K. Lamadrid,Keiber Lamadrid,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p268564.png,268564,Deportivo La Guaira,Venezuela,2003-11-18,20,3000,2800,2300,LB,LM,CM,63
D. Gonzalez,Diego González,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p267914.png,267914,Deportivo La Guaira,Venezuela,2004-02-25,20,1900,1800,1500,GK,,,62
Chacón,Ronaldo Chacón,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p261470.png,261470,Deportivo La Guaira,Venezuela,1998-02-18,26,7100,6500,5500,ST,,,66
R. Ibarra,Rommell Ibarra,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p259888.png,259888,Deportivo La Guaira,Venezuela,2000-03-24,24,4400,4100,3500,CDM,CM,RB,65
Perdomo,Juan Perdomo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p260062.png,260062,Deportivo La Guaira,Venezuela,2001-01-20,23,5700,5200,4400,CM,CDM,,66
Peña,Luis Peña,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256072.png,256072,Deportivo La Guaira,Venezuela,2002-03-07,22,4000,3700,3100,CM,RW,,63
Hernández,Andrés Hernández,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p255119.png,255119,Deportivo La Guaira,Venezuela,1993-04-21,31,5900,5400,4600,CDM,CM,,66
Varela,Cristopher Varela,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253791.png,253791,Deportivo La Guaira,Venezuela,1999-11-27,24,5400,5000,4200,GK,,,68
Álvarez,Pedro Álvarez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253821.png,253821,Deportivo La Guaira,Venezuela,2001-02-01,23,3600,3300,2800,CDM,,,63
Arias,Joiser Arias,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253859.png,253859,Deportivo La Guaira,Venezuela,1998-12-03,25,5400,5000,4200,LM,CAM,,65
Arace,Rafael Arace,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p252996.png,252996,Deportivo La Guaira,Venezuela,1995-05-22,29,5900,5400,4600,RM,LM,ST,65
Farías,Edder Farías,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p228735.png,228735,Deportivo La Guaira,Venezuela,1988-04-12,36,6300,5700,4900,ST,,,67
M. González,Maiken González,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p72303.png,72303,Deportivo La Guaira,Venezuela,2006-05-11,18,1200,1100,950,LM,,,59
Parra,Yonser Parra,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71750.png,71750,Deportivo La Guaira,Venezuela,2004-05-19,20,2600,2400,2000,RM,,,57
Santana,Luis Santana,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71751.png,71751,Deportivo La Guaira,Venezuela,2004-02-19,20,2600,2400,2000,CM,,,60
Valencia,Diego Valencia,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71752.png,71752,Deportivo La Guaira,Venezuela,2005-07-03,18,900,850,700,CB,,,59
Leonardy,David Leonardy,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71753.png,71753,Deportivo La Guaira,Venezuela,2006-03-19,18,1200,1100,950,CAM,LM,,58
Díaz,Franko Díaz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70619.png,70619,Deportivo La Guaira,Venezuela,1996-02-06,28,3400,3100,2600,CB,,,60
Toledo Pacheco,Lautaro Toledo Pacheco,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278416.png,278416,Deportivo Riestra,Argentina,2002-07-27,21,1700,1600,1300,RB,,,61
Minervino,Delfor Minervino,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p277875.png,277875,Deportivo Riestra,Argentina,1996-04-10,28,3800,3500,2900,RB,,,65
Barrionuevo,Alan Barrionuevo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269554.png,269554,Deportivo Riestra,Argentina,1997-01-02,27,4100,3800,3200,CB,,,66
Rodríguez,Maximiliano Rodríguez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p266814.png,266814,Deportivo Riestra,Argentina,1988-02-14,36,3400,3100,2700,RB,RM,,67
Sánchez,Braian Sánchez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p261537.png,261537,Deportivo Riestra,Argentina,1993-06-11,31,2600,2400,2100,LM,CAM,,61
Sansotre,Nicolás Sansotre,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p258844.png,258844,Deportivo Riestra,Argentina,1993-09-08,30,2900,2700,2300,RB,CB,,63
J. Herrera,Jonathan Herrera,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p243977.png,243977,Deportivo Riestra,Argentina,1991-09-16,32,8000,7300,6200,ST,LW,,69
Arce,Ignacio Arce,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p243759.png,243759,Deportivo Riestra,Argentina,1992-04-08,32,4600,4200,3600,GK,,,68
Goitia,Yonatan Goitia,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p242485.png,242485,Deportivo Riestra,Argentina,1994-08-02,29,7000,6400,5500,RB,LB,,69
N.Torres,Nicolás Caro Torres,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p236018.png,236018,Deportivo Riestra,Argentina,1995-05-04,29,3800,3500,2900,CB,,,65
Bravo,Gonzalo Bravo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p235542.png,235542,Deportivo Riestra,Argentina,1990-05-18,34,3600,3300,2800,CAM,ST,,64
Benegas,Nicolás Benegas,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p233775.png,233775,Deportivo Riestra,Argentina,1996-03-01,28,6000,5500,4600,ST,,,67
Landriel,Leonardo Landriel,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p226227.png,226227,Deportivo Riestra,Argentina,1994-07-14,29,2600,2300,2000,CM,RM,,60
Paz,Cristian Paz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p226411.png,226411,Deportivo Riestra,Argentina,1995-04-25,29,3100,2800,2400,CB,,,63
Pereira,Guillermo Pereira,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p219845.png,219845,Deportivo Riestra,Argentina,1994-01-16,30,3600,3300,2800,CAM,CM,,64
Celiz,Milton Céliz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p215065.png,215065,Deportivo Riestra,Argentina,1992-07-25,31,4300,3900,3300,ST,CM,LM,65
Fernández,Gustavo Fernández,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p190742.png,190742,Deportivo Riestra,Argentina,1990-08-04,33,3900,3600,3000,ST,,,64
Cavallera,Rodrigo Cavallera,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p75038.png,75038,Deportivo Riestra,Argentina,2000-01-23,24,3100,2800,2400,CB,,,65
Barceló,Jaime Barceló,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p75039.png,75039,Deportivo Riestra,Argentina,1999-10-06,24,1600,1500,1200,GK,,,61
Sayavedra,Rodrigo Sayavedra,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p74240.png,74240,Deportivo Riestra,Argentina,1995-07-21,28,4700,4300,3700,LM,LB,,66
Benítez,Gustavo Benítez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70692.png,70692,Deportivo Riestra,Argentina,1986-03-07,38,1700,1600,1300,CB,,,61
Sanabria,Mario Sanabria,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70165.png,70165,Deportivo Riestra,Argentina,2002-07-25,21,5400,5000,4200,RM,LM,,69
Goya,Jonathan Goya,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70211.png,70211,Deportivo Riestra,Argentina,1989-03-14,35,3300,3100,2600,CAM,CM,,66
Villoldo,Tomás Villoldo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70213.png,70213,Deportivo Riestra,Argentina,1995-02-28,29,3400,3100,2700,LB,LM,LW,64
Monje,Pablo Monje,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70053.png,70053,Deportivo Riestra,Argentina,1997-02-06,27,3600,3300,2800,CM,CDM,,64
Murillo,Yeison Murillo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70214.png,70214,Deportivo Riestra,Colombia,1993-11-15,30,3600,3300,2800,CB,,,65
W. Rodriguez,Walter Rodríguez,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p258875.png,258875,Deportivo Riestra,Paraguay,1995-10-07,28,5500,5000,4300,CM,CDM,,67
A. Alonso,Antony Alonso,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p266838.png,266838,Deportivo Riestra,Uruguay,1998-05-11,26,2900,2600,2200,ST,,,61
Brito,Maximiliano Brito,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p219493.png,219493,Deportivo Riestra,Uruguay,1991-07-19,32,3100,2800,2400,ST,,,62
E. Mac Eachen,Emilio Mac Eachen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p210628.png,210628,Deportivo Riestra,Uruguay,1992-05-04,32,2600,2400,2000,CB,LB,,62
